step,exact,kimi,srd,srd_f
263,4.50834,4.50545,4.5033,4.50457
264,4.47568,4.4754,4.47505,4.47421
265,4.48449,4.48454,4.48312,4.48665
266,4.47007,4.46968,4.46762,4.46922
267,4.49506,4.49401,4.49559,4.49823
268,4.47762,4.47754,4.47704,4.4804
269,4.50544,4.49138,4.49356,4.49645
270,4.48617,4.48608,4.48572,4.48827
271,4.50558,4.50466,4.50268,4.50396
272,4.49223,4.49369,4.49069,4.49453
273,4.48441,4.48567,4.48405,4.48589
274,4.49899,4.49981,4.49736,4.49858
275,4.48996,4.49006,4.48723,4.49123
276,4.50244,4.50086,4.50172,4.49887
277,4.4907,4.4878,4.48772,4.48997
278,4.49765,4.49805,4.49709,4.49762
279,4.46438,4.46298,4.46511,4.4673
280,4.50985,4.5123,4.50989,4.50996
281,4.4792,4.47378,4.47455,4.47202
282,4.49521,4.49026,4.49409,4.4957
283,4.45898,4.45824,4.45787,4.46041
284,4.48119,4.47387,4.47331,4.47604
285,4.48319,4.46889,4.46886,4.47152
286,4.4781,4.48005,4.48196,4.47713
287,4.4896,4.48648,4.48735,4.48803
288,4.49312,4.48912,4.48869,4.48956
289,4.47489,4.47359,4.47253,4.47647
290,4.46049,4.45931,4.45855,4.48299
291,4.45951,4.46296,4.4624,4.46364
292,4.47612,4.47764,4.47805,4.47885
293,4.52517,4.52894,4.52721,4.53024
294,4.47449,4.47489,4.47427,4.4733
295,4.46632,4.4618,4.46096,4.46374
296,4.47053,4.47222,4.47236,4.47204
297,4.48422,4.48695,4.48903,4.48878
298,4.48994,4.49718,4.49521,4.49433
299,4.49558,4.48918,4.49035,4.49047
300,4.52257,4.49692,4.49768,4.49718
301,4.50023,4.50308,4.50217,4.50363
302,4.47943,4.47861,4.47592,4.47923
303,4.50298,4.504,4.50385,4.50369
304,4.5144,4.48893,4.48843,4.48936
305,4.50115,4.49092,4.48686,4.49094
306,4.533,4.48895,4.48831,4.48981
307,4.50066,4.48387,4.48204,4.48302
308,4.50358,4.48111,4.48113,4.47939
309,4.51088,4.49323,4.49241,4.49061
310,4.47069,4.47078,4.47062,4.4706
311,4.52199,4.50869,4.50805,4.50993
312,4.52625,4.48383,4.4828,4.48234
313,4.49132,4.48801,4.48673,4.48856
314,4.50055,4.48176,4.48064,4.48402
315,4.51935,4.49806,4.49729,4.50121
316,4.489,4.47868,4.47766,4.48008
317,4.48999,4.48578,4.48561,4.49897
318,4.47944,4.4697,4.46896,4.47121
319,4.50852,4.47656,4.48041,4.48091
320,4.48926,4.48455,4.48483,4.48679
321,4.48768,4.48604,4.48616,4.48751
322,4.49035,4.48887,4.48839,4.48835
323,4.4936,4.49225,4.49032,4.49483
324,4.48671,4.48394,4.48368,4.48353
325,4.46731,4.46979,4.46552,4.46855
326,4.47836,4.4799,4.47654,4.48053
327,4.48806,4.48212,4.48386,4.48331
328,4.48757,4.48794,4.48652,4.48936
329,4.46999,4.47033,4.47056,4.4722
330,4.4969,4.49681,4.49596,4.49876
331,4.51317,4.49809,4.49887,4.49798
332,4.47746,4.47964,4.47607,4.47829
333,4.46896,4.46937,4.46964,4.46958
334,4.44503,4.44372,4.44502,4.444
335,4.47953,4.4794,4.47808,4.48053
336,4.47222,4.47229,4.47258,4.47249
337,4.51171,4.51256,4.50937,4.51036
338,4.48996,4.48581,4.48609,4.4868
339,4.48874,4.48589,4.48512,4.48686
340,4.47633,4.4731,4.47432,4.47493
341,4.48251,4.48268,4.48466,4.4837
342,4.48325,4.4854,4.48454,4.48566
343,4.47898,4.47574,4.47512,4.47562
344,4.49788,4.49774,4.49625,4.4994
345,4.47433,4.47212,4.46906,4.47009
346,4.49268,4.49421,4.48863,4.49367
347,4.46669,4.46245,4.46338,4.46375
348,4.46686,4.46746,4.46574,4.46672
349,4.48328,4.48249,4.48029,4.48194
350,4.48922,4.48823,4.48998,4.49008
351,4.47951,4.47581,4.47556,4.47479
352,4.48236,4.48053,4.47828,4.48212
353,4.47539,4.4769,4.47262,4.47485
354,4.46024,4.4612,4.4643,4.46079
355,4.45798,4.45714,4.45704,4.4602
356,4.50813,4.50748,4.50836,4.50914
357,4.50296,4.50122,4.50008,4.50117
358,4.50293,4.50219,4.50222,4.50105
359,4.48153,4.48231,4.47914,4.48011
360,4.49163,4.49208,4.49146,4.49145
361,4.4741,4.4727,4.47443,4.47493
362,4.48139,4.48113,4.47893,4.48097
